iter	RMSE
0	3.755263766
1	3.59692729
2	3.460637838
3	3.346428306
4	3.237264378
5	3.144364494
6	3.065867549
7	3.005096766
8	2.947140716
9	2.890368601
10	2.842510383
11	2.803159417
12	2.767316671
13	2.735561254
14	2.707271407
15	2.683602828
16	2.663523754
17	2.642363641
18	2.626885029
19	2.613605291
20	2.59909674
21	2.590101736
22	2.580710931
23	2.572027725
24	2.565159153
25	2.557611848
26	2.551822552
27	2.546572057
28	2.541644074
29	2.536051419
30	2.530698021
31	2.527069956
32	2.526341508
33	2.525018351
34	2.520399961
35	2.517146393
36	2.514150346
37	2.5115639
38	2.508800834
39	2.506180234
40	2.50440945
41	2.501949544
42	2.499987512
43	2.49886702
44	2.497564009
45	2.497053677
46	2.494860491
47	2.493961875
48	2.491251789
49	2.489770982
50	2.488141869
51	2.485784666
52	2.484708813
53	2.483381192
54	2.482252668
55	2.480385351
56	2.479758102
57	2.478795875
58	2.477240057
59	2.476262337
60	2.473711734
61	2.471020535
62	2.470333493
63	2.469534837
64	2.467992897
65	2.467394556
66	2.466016009
67	2.465048009
68	2.463625235
69	2.462018986
70	2.461684867
71	2.460435987
72	2.460010673
73	2.458685028
74	2.458194681
75	2.457611075
76	2.457243476
77	2.456132502
78	2.455981116
79	2.455157972
80	2.453876805
81	2.452624359
82	2.451508475
83	2.450244092
84	2.449326439
85	2.447282658
86	2.447152059
87	2.444013144
88	2.443116008
89	2.441729067
90	2.441079164
91	2.440805925
92	2.440296204
93	2.440236078
94	2.438273568
95	2.437708115
96	2.436558623
97	2.435704291
98	2.431734715
99	2.43017867
100	2.429969054
101	2.429649115
102	2.427121626
103	2.426388898
104	2.425141035
105	2.424128228
106	2.422509375
107	2.421850561
108	2.421122591
109	2.420690832
110	2.419145169
111	2.418432614
112	2.41719035
113	2.41387748
114	2.41130783
115	2.411111289
116	2.410522518
117	2.407813196
118	2.407106043
119	2.405949314
120	2.405384208
121	2.402925982
122	2.402560433
123	2.399878444
124	2.399012269
125	2.396218712
126	2.393079342
127	2.390773537
128	2.390346182
129	2.383490208
130	2.381854545
131	2.381215132
132	2.37955742
133	2.379081331
134	2.378451904
135	2.376654991
136	2.375791489
137	2.374709699
138	2.371508676
139	2.369241339
140	2.366834052
141	2.365489603
142	2.365133755
143	2.365118344
144	2.363948348
145	2.363521777
146	2.356750936
147	2.352912974
148	2.351651436
149	2.347178699
150	2.345903397
151	2.345035168
152	2.341667358
153	2.341230241
154	2.338835964
155	2.337506323
156	2.332236926
157	2.329330668
158	2.328946816
159	2.327963878
160	2.326530321
161	2.324996819
162	2.324188411
163	2.322907658
164	2.32255691
165	2.32049813
166	2.319208116
167	2.317275341
168	2.314154728
169	2.312572274
170	2.310677028
171	2.308673701
172	2.306690828
173	2.303457359
174	2.30162322
175	2.300501327
176	2.298968294
177	2.298016257
178	2.29688037
179	2.296027807
180	2.2937549
181	2.292569478
182	2.291002329
183	2.288665848
184	2.288230349
185	2.286474084
186	2.285509963
187	2.284181266
188	2.283592743
189	2.282156591
190	2.281865841
191	2.280147038
192	2.279607256
193	2.278052827
194	2.277051476
195	2.274656656
196	2.273394754
197	2.268267133
198	2.267621357
199	2.266515879
