iter	Passed	Remaining
0	2	401
1	3	368
2	5	347
3	6	338
4	8	332
5	10	323
6	11	326
7	13	324
8	15	329
9	17	328
10	18	323
11	20	319
12	21	315
13	23	315
14	25	311
15	26	310
16	28	308
17	30	306
18	32	305
19	33	302
20	35	299
21	36	297
22	38	294
23	39	292
24	41	289
25	42	287
26	44	284
27	46	284
28	48	283
29	49	281
30	51	279
31	52	276
32	53	270
33	54	267
34	56	266
35	58	265
36	59	264
37	61	264
38	63	261
39	65	260
40	66	258
41	68	257
42	70	257
43	71	255
44	73	253
45	74	249
46	76	248
47	78	247
48	79	245
49	81	243
50	82	241
51	84	239
52	85	236
53	86	234
54	88	232
55	89	230
56	91	230
57	93	229
58	95	228
59	97	226
60	98	225
61	100	223
62	102	222
63	104	221
64	105	220
65	108	220
66	111	220
67	113	219
68	115	220
69	119	221
70	121	220
71	123	219
72	126	219
73	129	220
74	132	220
75	134	219
76	136	218
77	139	218
78	141	217
79	144	216
80	146	215
81	149	214
82	151	213
83	154	213
84	157	212
85	159	211
86	161	209
87	163	208
88	165	206
89	168	205
90	170	203
91	172	202
92	174	201
93	176	198
94	178	197
95	180	195
96	182	194
97	185	192
98	188	192
99	191	191
100	193	189
101	195	188
102	198	186
103	200	184
104	203	183
105	206	182
106	208	181
107	210	179
108	213	177
109	215	176
110	218	175
111	221	174
112	224	172
113	226	171
114	229	169
115	231	167
116	234	166
117	236	164
118	238	162
119	240	160
120	242	158
121	244	156
122	246	154
123	248	152
124	250	150
125	252	148
126	254	146
127	256	144
128	258	142
129	260	140
130	262	138
131	264	136
132	267	134
133	269	132
134	271	130
135	273	128
136	275	126
137	277	124
138	279	122
139	282	121
140	285	119
141	287	117
142	289	115
143	290	112
144	292	110
145	295	109
146	298	107
147	301	105
148	303	103
149	306	102
150	309	100
151	312	98
152	315	97
153	319	95
154	321	93
155	324	91
156	326	89
157	329	87
158	332	85
159	334	83
160	338	81
161	341	80
162	345	78
163	350	76
164	354	75
165	357	73
166	362	71
167	367	69
168	370	68
169	374	66
170	379	64
171	383	62
172	386	60
173	390	58
174	394	56
175	397	54
176	401	52
177	404	50
178	409	48
179	412	45
180	416	43
181	420	41
182	425	39
183	429	37
184	433	35
185	438	32
186	443	30
187	447	28
188	450	26
189	454	23
190	459	21
191	462	19
192	464	16
193	468	14
194	472	12
195	476	9
196	479	7
197	484	4
198	489	2
199	493	0
