iter	Passed	Remaining
0	1	385
1	3	351
2	5	336
3	6	320
4	8	318
5	9	311
6	11	306
7	12	306
8	14	301
9	15	296
10	17	303
11	19	298
12	20	294
13	21	290
14	23	287
15	24	284
16	26	281
17	27	281
18	29	278
19	30	277
20	32	275
21	33	273
22	35	270
23	36	268
24	37	265
25	39	264
26	41	263
27	42	262
28	44	259
29	45	258
30	46	255
31	48	252
32	48	247
33	50	245
34	51	243
35	53	241
36	54	239
37	55	238
38	57	237
39	58	235
40	60	233
41	61	232
42	63	230
43	64	228
44	65	226
45	66	223
46	68	221
47	69	219
48	70	218
49	72	217
50	73	215
51	75	214
52	76	212
53	78	211
54	79	209
55	81	208
56	82	207
57	84	205
58	85	204
59	86	202
60	88	200
61	89	199
62	90	197
63	92	196
64	93	194
65	95	193
66	96	191
67	97	190
68	99	188
69	100	187
70	102	185
71	103	184
72	105	182
73	106	181
74	107	179
75	109	178
76	110	176
77	111	175
78	113	173
79	115	172
80	116	171
81	117	169
82	119	168
83	120	166
84	122	165
85	123	163
86	124	162
87	126	160
88	127	158
89	128	157
90	130	155
91	131	154
92	132	152
93	133	150
94	134	149
95	136	147
96	137	145
97	138	144
98	139	142
99	141	141
100	142	139
101	144	138
102	145	137
103	147	135
104	148	134
105	150	133
106	151	131
107	153	130
108	154	128
109	155	127
110	157	126
111	158	124
112	160	123
113	161	121
114	163	120
115	164	119
116	165	117
117	167	116
118	169	115
119	170	113
120	171	112
121	173	110
122	174	109
123	176	108
124	177	106
125	179	105
126	180	103
127	182	102
128	183	100
129	184	99
130	186	98
131	187	96
132	189	95
133	190	94
134	192	92
135	193	91
136	194	89
137	196	88
138	197	86
139	199	85
140	200	84
141	202	82
142	204	81
143	204	79
144	206	78
145	207	76
146	209	75
147	211	74
148	212	72
149	214	71
150	215	69
151	217	68
152	219	67
153	220	65
154	222	64
155	224	63
156	226	61
157	228	60
158	230	59
159	231	57
160	233	56
161	235	55
162	236	53
163	237	52
164	239	50
165	240	49
166	242	47
167	243	46
168	245	44
169	246	43
170	247	42
171	249	40
172	250	39
173	251	37
174	253	36
175	254	34
176	256	33
177	257	31
178	259	30
179	260	28
180	262	27
181	263	26
182	264	24
183	266	23
184	267	21
185	268	20
186	270	18
187	271	17
188	273	15
189	274	14
190	276	13
191	277	11
192	278	10
193	280	8
194	281	7
195	282	5
196	284	4
197	285	2
198	286	1
199	288	0
